seed,es_patience,es_var,es_mode,use_lr_scheduler,lr_training_epochs,lr_warmup_epochs,tensorboard_log_dir,data_dir,predict_data_dir,cls_label_file,aug_hist_equalize,batch_size,no_crop_resize,od_crop_factor,aug_rot_degrees,aug_translate,aug_scale,split_num_val_folds,split_val_fold_idx,split_test_prop,DATA_MAX_OD_DIAMETER_PROP,DATA_CROP_ENLARGMENT_FACTOR,lr,optimizer,weight_decay_factor,sgd_nesterov,sgd_momentum,adamw_amsgrad,dropout,label_smoothing,class_balancing,focal_loss_alpha,focal_loss_gamma,backbone,experiment_name,test_auroc,test_partial_auroc,test_sens_at_95_spec
100.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_class_imbalance,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,focal_loss,0.66,2.0,tv-224-swin_b.IMAGENET1K_V1,h08194bb70b6cd18c_s100_f0,0.9836241602897644,0.9304922819137573,0.8935331106185913
200.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_class_imbalance,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,focal_loss,0.66,2.0,tv-224-swin_b.IMAGENET1K_V1,h08194bb70b6cd18c_s200_f1,0.983473002910614,0.9340813755989075,0.9092037081718445
300.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_class_imbalance,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,focal_loss,0.66,2.0,tv-224-swin_b.IMAGENET1K_V1,h08194bb70b6cd18c_s300_f2,0.979895830154419,0.932709276676178,0.9056484699249268
100.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_class_imbalance,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,focal_loss,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h7610d694a6a38511_s100_f0,0.9818874597549438,0.9330189228057861,0.9035463929176331
200.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_class_imbalance,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,focal_loss,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h7610d694a6a38511_s200_f1,0.9784279465675354,0.9268041253089905,0.9012192487716675
300.0,3.0,val_partial_auroc,max,0.0,20.0,1.0,exp_class_imbalance,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,focal_loss,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h7610d694a6a38511_s300_f2,0.9788596630096436,0.9317948222160339,0.8758959770202637
