seed,use_lr_scheduler,lr_training_epochs,lr_warmup_epochs,tensorboard_log_dir,data_dir,predict_data_dir,cls_label_file,aug_hist_equalize,batch_size,no_crop_resize,od_crop_factor,aug_rot_degrees,aug_translate,aug_scale,split_num_val_folds,split_val_fold_idx,split_test_prop,DATA_MAX_OD_DIAMETER_PROP,DATA_CROP_ENLARGMENT_FACTOR,lr,optimizer,weight_decay_factor,sgd_nesterov,sgd_momentum,adamw_amsgrad,dropout,label_smoothing,class_balancing,focal_loss_alpha,focal_loss_gamma,backbone,experiment_name,test_acc,test_auroc,test_partial_auroc,test_sens_at_95_spec
100.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.4,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h275dd8fff7dcdfcb_s100_f0,0.9596531987190247,0.9849417805671692,0.9375176429748535,0.9081169366836548
200.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.4,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h275dd8fff7dcdfcb_s200_f1,0.9656552076339722,0.9836770296096802,0.9375041723251343,0.9123623967170715
300.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.4,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h275dd8fff7dcdfcb_s300_f2,0.9529843330383301,0.974273145198822,0.9058151841163635,0.8540158867835999
100.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.1,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h71d58c99ab50c2e6_s100_f0,0.9639880061149597,0.9859972596168518,0.9395670890808105,0.9047368764877319
200.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.1,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h71d58c99ab50c2e6_s200_f1,0.9636545777320862,0.985334038734436,0.9353599548339844,0.9114092588424683
300.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.1,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h71d58c99ab50c2e6_s300_f2,0.966322124004364,0.9835609197616577,0.9287915229797363,0.8854990005493164
100.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.2,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,hee6293b663deaf96_s100_f0,0.9629876613616943,0.9836030006408691,0.9356348514556885,0.9091053009033203
200.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.2,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,hee6293b663deaf96_s200_f1,0.9679893255233765,0.984864354133606,0.9399538636207581,0.9103837609291077
300.0,0.0,20.0,1.0,exp_translations,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.2,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,hee6293b663deaf96_s300_f2,0.9669889807701111,0.9821851253509521,0.9341912269592285,0.9071677327156067
