seed,es_patience,predict_checkpoint,data_dir,cls_label_file,equalize,batch_size,od_crop_factor,aug_rot_degrees,aug_translate,aug_scale,split_num_val_folds,split_val_fold_idx,split_test_prop,DATA_MAX_OD_DIAMETER_PROP,DATA_CROP_ENLARGMENT_FACTOR,lr,optimizer,weight_decay_factor,sgd_nesterov,sgd_momentum,adamw_amsgrad,dropout,label_smoothing,class_balancing,focal_loss_alpha,focal_loss_gamma,backbone,experiment_name,test_auroc,test_partial_auroc,test_sens_at_95_spec
1.0,3.0,None,./data/yolo_baseline_cfp_od_crop_OD_f2.0,./data/dev_labels.csv,no,64.0,1.2,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h0b29272b94d2f51a_s1_f0,0.9815611839294434,0.9364835619926453,0.9161824584007263
2.0,3.0,None,./data/yolo_baseline_cfp_od_crop_OD_f2.0,./data/dev_labels.csv,no,64.0,1.2,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h0b29272b94d2f51a_s2_f1,0.9812657237052917,0.9349621534347534,0.890296995639801
3.0,3.0,None,./data/yolo_baseline_cfp_od_crop_OD_f2.0,./data/dev_labels.csv,no,64.0,1.2,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h0b29272b94d2f51a_s3_f2,0.9827964901924133,0.9375051259994507,0.8970052003860474
1.0,3.0,None,./data/cfp_od_crop_OD_f2.0,./data/dev_labels.csv,no,64.0,1.2,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h7010ed743c685d8c_s1_f0,0.980621874332428,0.9296025633811951,0.898374080657959
2.0,3.0,None,./data/cfp_od_crop_OD_f2.0,./data/dev_labels.csv,no,64.0,1.2,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h7010ed743c685d8c_s2_f1,0.9806094765663147,0.932816207408905,0.8865546584129333
3.0,3.0,None,./data/cfp_od_crop_OD_f2.0,./data/dev_labels.csv,no,64.0,1.2,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.0,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h7010ed743c685d8c_s3_f2,0.9824586510658264,0.928440272808075,0.8894839286804199
