seed,use_lr_scheduler,lr_training_epochs,lr_warmup_epochs,tensorboard_log_dir,data_dir,predict_data_dir,cls_label_file,aug_hist_equalize,batch_size,no_crop_resize,od_crop_factor,aug_rot_degrees,aug_translate,aug_scale,split_num_val_folds,split_val_fold_idx,split_test_prop,DATA_MAX_OD_DIAMETER_PROP,DATA_CROP_ENLARGMENT_FACTOR,lr,optimizer,weight_decay_factor,sgd_nesterov,sgd_momentum,adamw_amsgrad,dropout,label_smoothing,class_balancing,focal_loss_alpha,focal_loss_gamma,backbone,experiment_name,test_auroc,test_partial_auroc,test_sens_at_95_spec
100.0,0.0,20.0,1.0,exp_label_smoothing,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.1,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h07af68425afb3d25_s100_f0,0.9780030846595764,0.9342990517616272,0.8985930681228638
200.0,0.0,20.0,1.0,exp_label_smoothing,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.1,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h07af68425afb3d25_s200_f1,0.9619677662849426,0.9296650886535645,0.8865458965301514
300.0,0.0,20.0,1.0,exp_label_smoothing,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.1,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,h07af68425afb3d25_s300_f2,0.9764836430549622,0.9253809452056885,0.8865489363670349
100.0,0.0,20.0,1.0,exp_label_smoothing,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,0.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.5,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,hbe0385eca404c827_s100_f0,0.9717789888381958,0.9197222590446472,0.8658568263053894
200.0,0.0,20.0,1.0,exp_label_smoothing,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,1.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.5,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,hbe0385eca404c827_s200_f1,0.9780582189559937,0.940691351890564,0.9051383137702942
300.0,0.0,20.0,1.0,exp_label_smoothing,./data/cfp_od_crop_OD_f2.0,None,./data/dev_labels.csv,no,64.0,0.0,1.5,0.0,0.0,0.0,5.0,2.0,0.2,2.0,1.4283556979968262,5e-05,adamw,0.0,0.0,0.9,0.0,0.0,0.5,none,0.5,2.0,tv-224-swin_b.IMAGENET1K_V1,hbe0385eca404c827_s300_f2,0.9742684960365295,0.9108883738517761,0.882282555103302
